country,platform,city,lat,lng,method,source,notes
Argentina,Cognizant,Buenos Aires,-34.6095579,-58.3887904,Company website,https://www.cognizant.com/us/en/about-cognizant/contact-us,"only offices marked as ""Delivery Center"" are recorded"
Cambodia,Digital Divide Data,.,12.5433216,104.8144914,Company website,https://www.digitaldividedata.com/#:~:text=Changing%20How%20the%20World%20Works,
Canada,Cognizant,Mississauga,43.5884727,-79.643658,,https://www.cognizant.com/us/en/about-cognizant/contact-us,
Canada,Sama,Montréal,45.5031824,-73.5698065,Company website,https://www.sama.com/our-team,
China,Centific,Shanghai,31.2312707,121.4700152,Company website,https://www.centific.com/company/locations,
China,Centific,Shenzhen,22.5445741,114.0545429,Company website,https://www.centific.com/company/locations,
China,Centific,Beijing,39.9057136,116.3912972,Company website,https://www.centific.com/company/locations,
China,Centific,Wuxi,31.5776626,120.2952752,Company website,https://www.centific.com/company/locations,
China,Centific,Suzhou,31.311123,120.6212881,Company website,https://www.centific.com/company/locations,
China,Cognizant,Dalian,39.740278,122.255833,,https://www.cognizant.com/us/en/about-cognizant/contact-us,
China,Cognizant,Shanghai,31.2312707,121.4700152,,https://www.cognizant.com/us/en/about-cognizant/contact-us,
Colombia,CloudFactory,.,4.099917,-72.9088133,Company website,https://www.cloudfactory.com/careers,
Colombia,TaskUs,Cali,3.4519988,-76.5325259,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Colombia,TaskUs,Barranquilla,10.9938599,-74.7926118,Company website,https://www.taskus.com/locations/,
Colombia,TaskUs,Medellín,6.2443382,-75.573553,Company website,https://www.taskus.com/locations/,
Costa Rica,Sama,San José,9.9327707,-84.0796144,Company website,https://www.sama.com/our-team,
Croatia,TaskUs,Zagreb,45.8130967,15.9772795,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Egypt,TaskUs,Cairo,30.0443879,31.2357257,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Germany,CloudFactory,,51.1638175,10.4478313,Company website,https://www.cloudfactory.com/careers,
Greece,TaskUs,Thessaloniki,40.6403167,22.9352716,Company website,https://www.taskus.com/locations/,
India,Centific,Chennai,13.0836939,80.270186,Company website,https://www.centific.com/company/locations,
India,Centific,Hyderabad,17.360589,78.4740613,Company website,https://www.centific.com/company/locations,
India,DesiCrew,Chennai,13.0836939,80.270186,Company website,https://desicrew.in/about-us/company-profile/,
India,DesiCrew,"Kaup, Karnataka",13.2306764,74.7484014,Company website,https://desicrew.in/about-us/company-profile/,
India,DesiCrew,"Villupuram, TN",11.9398285,79.4945645,Company website,https://desicrew.in/about-us/company-profile/,
India,DesiCrew,"Erode, TN",11.4905282,77.3505274,Company website,https://desicrew.in/about-us/company-profile/,
India,DesiCrew,"Kollu, TN",15.3193775,79.8021041,Company website,https://desicrew.in/about-us/company-profile/,
India,Innodata,New Delhi,28.6138954,77.2090057,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/903651/000110465926020655/inod-20251231xex21.htm,
India,NextWealth,Mallasamudram,11.4903306,78.0322292,Company website,https://www.nextwealth.com/our-team/,
India,NextWealth,Salem,11.6469616,78.2106958,Company website,https://www.nextwealth.com/our-team/,
India,NextWealth,Puducherry,10.9156489,79.8069488,Company website,https://www.nextwealth.com/our-team/,
India,NextWealth,Jaipur,26.9154576,75.8189817,Company website,https://www.nextwealth.com/our-team/,
India,NextWealth,Udaipur,24.578721,73.6862571,Company website,https://www.nextwealth.com/our-team/,
India,NextWealth,Kumbakonam,10.9604108,79.3820861,Company website,https://www.nextwealth.com/our-team/,
India,NextWealth,Chittoor,13.325036,79.6480611,Company website,https://www.nextwealth.com/our-team/,
India,NextWealth,Vellore,12.9021849,79.061104,Company website,https://www.nextwealth.com/our-team/,
India,NextWealth,Mysuru,12.3041464,76.6529521,Company website,https://www.nextwealth.com/our-team/,
India,NextWealth,Hubballi,15.3518378,75.1379848,Company website,https://www.nextwealth.com/our-team/,
India,NextWealth,Bhilai,21.2120677,81.3732849,Company website,https://www.nextwealth.com/our-team/,
India,TaskUs,Navi Mumbai,19.0308262,73.0198537,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
India,TaskUs,Chennai,13.0836939,80.270186,Company website,https://www.taskus.com/locations/,
India,TaskUs,Gurugram,28.4646148,77.0299194,Company website,https://www.taskus.com/locations/,
India,TaskUs,Indore,22.7203616,75.8681996,Company website,https://www.taskus.com/locations/,
India,TaskUs,Mohali,30.7041168,76.7176885,Company website,https://www.taskus.com/locations/,
India,TaskUs,Noida,28.5706333,77.3272147,Company website,https://www.taskus.com/locations/,
India,iMerit,"Kolkata, India",22.5732616,88.3551352,Company website,https://imerit.ai/about-us/?utm_medium=ppc&utm_source=adwords&utm_campaign=Omni%20Lab%20l%20Google%20Ads%20l%20Brand%20l%20US&utm_term=imerit&utm_content=Brand,
India,iMerit,"Bengaluru, India",12.9688497,77.7168965,Company website,https://imerit.ai/about-us/?utm_medium=ppc&utm_source=adwords&utm_campaign=Omni%20Lab%20l%20Google%20Ads%20l%20Brand%20l%20US&utm_term=imerit&utm_content=Brand,
Ireland,TaskUs,Dublin,53.3493795,-6.2605593,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Japan,TaskUs,Tokyo,35.6768601,139.7638947,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Kenya,CloudFactory,Nairobi,-1.2890006,36.8172812,Company website,https://craft.co/cloudfactory/locations,
Kenya,Digital Divide Data,.,1.4419683,38.4313975,Company website,https://www.digitaldividedata.com/#:~:text=Changing%20How%20the%20World%20Works,
Kenya,Sama,Nairobi,-1.2890006,36.8172812,Company website,https://www.sama.com/our-team,
Laos,Digital Divide Data,.,20.0171109,103.378253,Company website,https://www.digitaldividedata.com/#:~:text=Changing%20How%20the%20World%20Works,
Madagascar,Digital Divide Data,.,-18.9249604,46.4416422,Company website,https://www.digitaldividedata.com/#:~:text=Changing%20How%20the%20World%20Works,
Madagascar,Ingedata,Antananarivo,-18.9100122,47.5255809,LinkedIn,https://www.linkedin.com/company/ingedata-group/?originalSubdomain=sg,
Malaysia,Centific,Johor,2.0228821,103.3114564,Company website,https://www.centific.com/company/locations,
Malaysia,Centific,Penang,5.4065013,100.2559077,Company website,https://www.centific.com/company/locations,
Malaysia,TaskUs,Petaling Jaya,3.0988792,101.6454202,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Mexico,TaskUs,Tijuana,32.5317397,-117.019529,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Mexico,TaskUs,Puebla,18.833333,-98.0,Company website,https://www.taskus.com/locations/,
Nepal,CloudFactory,Kathmandu,27.708317,85.3205817,Company website,https://craft.co/cloudfactory/locations,
Netherlands,Sama,The Hague,52.0799838,4.3113461,Company website,https://www.sama.com/our-team,
Philippines,Ingedata,Pasig City,14.5605166,121.0764343,LinkedIn; Industry Site,https://ph.indeed.com/cmp/Ingedata-Philippines-Inc/locations,
Philippines,Ingedata,Makati City,14.5567949,121.0211226,LinkedIn; Industry Site,https://ph.indeed.com/cmp/Ingedata-Philippines-Inc/locations,
Philippines,Innodata,"Mandaue City, Cebu",10.3274183,123.9421517,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/903651/000110465926020655/inod-20251231xex21.htm,
Philippines,Innodata,Makati City,14.5567949,121.0211226,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/903651/000110465926020655/inod-20251231xex21.htm,
Philippines,TaskUs,Quezon City,14.6510546,121.0486254,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Philippines,TaskUs,Pasig,14.5605166,121.0764343,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Philippines,TaskUs,Batangas,13.9146826,121.0867566,Company website,https://www.taskus.com/locations/,
Philippines,TaskUs,Bohol,9.833333,124.1615579,Company website,https://www.taskus.com/locations/,
Philippines,TaskUs,Bulacan,15.0,121.083333,Company website,https://www.taskus.com/locations/,
Philippines,TaskUs,Cavite (Imus),14.4219445,120.9453846,Company website,https://www.taskus.com/locations/,
Philippines,TaskUs,Cavite (Molino),14.3729143,120.9825559,Company website,https://www.taskus.com/locations/,
Philippines,TaskUs,La Union,16.5735957,120.4089899,Company website,https://www.taskus.com/locations/,
Philippines,TaskUs,Las Piñas,14.4809012,120.9817861,Company website,https://www.taskus.com/locations/,
Philippines,TaskUs,Pampanga,15.0519635,120.6445398,Company website,https://www.taskus.com/locations/,
Philippines,TaskUs,Rizal,14.65,121.25,Company website,https://www.taskus.com/locations/,
Serbia,Centific,Belgrade,44.8153318,20.4456588,Company website,https://www.centific.com/company/locations,
Serbia,TaskUs,Belgrade,44.8153318,20.4456588,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Singapore,Centific,Singapore,1.357107,103.8194992,Company website,https://www.centific.com/company/locations,
Spain,Centific,Barcelona,41.3825802,2.177073,Company website,https://www.centific.com/company/locations,
Taiwan,Centific,Taiwan,23.9739374,120.9820179,Company website,https://www.centific.com/company/locations,
Taiwan,CloudFactory,.,23.9739374,120.9820179,Company website,https://www.cloudfactory.com/careers,
Taiwan,TaskUs,Taipei,25.0375198,121.5636796,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
Thailand,Ingedata,Phra Khanong,13.7023638,100.6015464,LinkedIn,https://www.linkedin.com/company/ingedata-group/?originalSubdomain=sg,
Uganda,Sama,Gulu,3.0346584,32.3802374,Company website,https://www.sama.com/our-team,
Uganda,Sama,Kampala,0.3177137,32.5813539,Company website,https://www.sama.com/our-team,
Ukraine,Keymakr,.,49.4871968,31.2718321,LinkedIn,"https://www.linkedin.com/company/keymakr/people/
https://dataannotationcompanies.com/company/keymakr
https://segments.ai/data-labeling-companies/keymakr/",
United Kingdom,CloudFactory,Reading,51.4564242,-0.9700664,Company website,https://craft.co/cloudfactory/locations,
United Kingdom,TaskUs,London,51.5074456,-0.1277653,SEC 10-K Exhibit 21,https://www.sec.gov/Archives/edgar/data/1829864/000182986426000012/exhibit211subsidiaries2025.htm,
United States,DesiCrew,"Fremont, CA",37.5482697,-121.988571,Company website,https://desicrew.in/about-us/company-profile/,
United States,iMerit,"New Orleans, LA",29.9561422,-90.0733934,Company website,https://imerit.ai/about-us/?utm_medium=ppc&utm_source=adwords&utm_campaign=Omni%20Lab%20l%20Google%20Ads%20l%20Brand%20l%20US&utm_term=imerit&utm_content=Brand,
Zambia,Impact Enterprises,Chipata,-13.6391314,32.6458437,LinkedIn,https://www.linkedin.com/company/impact-enterprises,
